,0,0
961345,0,0
961395,0,0
961445,0,0
961495,0,0
961545,0,0
961595,0,0
961645,0,0
961695,0,0
961745,0,0
961795,0,0
961845,0,0
961895,0,0
961945,0,0
961996,0,0
962046,0,0
962096,0,0
962146,0,0
962196,0,0
962246,0,0
962296,0,0
962346,0,0
962396,0,0
962446,0,0
962496,0,0
962546,0,0
962596,0,0
962647,0,0
962697,0,0
962747,0,0
