278,303,304,0,20,1,1
316,341,366,0,0,1,1
377,402,427,0,0,1,1
437,462,487,0,0,1,1
497,522,547,0,0,1,1
561,586,611,0,0,1,1
621,646,671,0,0,1,1
682,707,732,0,0,1,1
742,767,792,0,0,1,1
802,827,852,0,0,1,1
863,888,913,0,0,1,1
923,948,973,0,0,1,1
983,1008,1033,0,0,1,1
1043,1068,1093,0,0,1,1
1104,1129,1154,0,0,1,1
1164,1189,1214,0,0,1,1
1224,1249,1274,0,0,1,1
1285,1310,1335,0,0,1,1
1345,1370,1395,0,0,1,1
1405,1430,1455,0,0,1,1
1465,1490,1515,0,0,1,1
1526,1551,1576,0,0,1,1
1586,1611,1636,0,0,1,1
1646,1671,1696,0,0,1,1
1706,1731,1757,0,0,1,1
1767,1792,1817,0,0,1,1
1827,1852,1877,0,0,1,1
1888,1913,1938,0,0,1,1
1948,1973,1998,0,0,1,1
2021,2046,2071,0,0,1,1
2082,2107,2132,0,0,1,1
2142,2167,2192,0,0,1,1
2202,2227,2252,0,0,1,1
2262,2287,2312,0,0,1,1
2322,2347,2372,0,0,1,1
2382,2407,2432,0,0,1,1
2442,2467,2492,0,0,1,1
2502,2527,2552,0,0,1,1
2562,2587,2612,0,0,1,1
2622,2647,2672,0,0,1,1
2682,2707,2732,0,0,1,1
2742,2767,2792,0,0,1,1
2802,2827,2852,0,0,1,1
2862,2887,2912,0,0,1,1
2922,2947,2972,0,0,1,1
2982,3007,3032,0,0,1,1
3042,3067,3092,0,0,1,1
3102,3127,3152,0,0,1,1
3162,3187,3212,0,0,1,1
3222,3247,3272,0,0,1,1
3282,3307,3332,0,0,1,1
3346,3371,3396,0,0,1,1
3406,3431,3456,0,0,1,1
3466,3491,3516,0,0,1,1
3526,3551,3576,0,0,1,1
3586,3611,3636,0,0,1,1
3646,3671,3696,0,0,1,1
3706,3731,3756,0,0,1,1
3766,3791,3816,0,0,1,1
3826,3851,3876,0,0,1,1
3886,3911,3936,0,0,1,1
3946,3971,3996,0,0,1,1
4006,4031,4056,0,0,1,1
4066,4091,4116,0,0,1,1
4126,4151,4176,0,0,1,1
4186,4211,4236,0,0,1,1
4246,4271,4296,0,0,1,1
4306,4331,4356,0,0,1,1
